"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 16:38:39 CET 2024","Thu Jan 25 16:38:52 CET 2024","12916","","basicTest.spec.js","","","","showandHide",""
"passed","Thu Jan 25 16:34:34 CET 2024","Thu Jan 25 16:34:49 CET 2024","14827","","NetworkIntercept.spec.js","","","","Intercept Request",""
"failed","Thu Jan 25 16:34:52 CET 2024","Thu Jan 25 16:35:11 CET 2024","19575","","e2e.spec.js","","","","E2E_Fixture",""
"passed","Thu Jan 25 16:34:25 CET 2024","Thu Jan 25 16:34:34 CET 2024","8980","","NetworkIntercept.spec.js","","","","Intercept Response",""
"passed","Thu Jan 25 16:36:30 CET 2024","Thu Jan 25 16:36:36 CET 2024","6441","","basicTest.spec.js","","","","@reg Window Handling",""
"passed","Thu Jan 25 16:38:52 CET 2024","Thu Jan 25 16:38:59 CET 2024","7211","","basicTest.spec.js","","","","JavaScript-Dialogue",""
"passed","Thu Jan 25 16:35:46 CET 2024","Thu Jan 25 16:35:49 CET 2024","2385","","LoginAnd StoreNetwork.spec.js","","","","Title",""
"passed","Thu Jan 25 16:39:06 CET 2024","Thu Jan 25 16:39:15 CET 2024","8376","","basicTest.spec.js","","","","Frame and visible element click",""
"passed","Thu Jan 25 16:36:06 CET 2024","Thu Jan 25 16:36:12 CET 2024","6424","","basicTest.spec.js","","","","@smoke Default browser context",""
"broken","Thu Jan 25 16:37:31 CET 2024","Thu Jan 25 16:38:22 CET 2024","51871","","basicTest.spec.js","","","","@reg E2E",""
"passed","Thu Jan 25 16:38:59 CET 2024","Thu Jan 25 16:39:06 CET 2024","7165","","basicTest.spec.js","","","","Mouse-Over",""
"passed","Thu Jan 25 16:36:26 CET 2024","Thu Jan 25 16:36:30 CET 2024","3797","","basicTest.spec.js","","","","@reg  UI control",""
"passed","Thu Jan 25 16:35:25 CET 2024","Thu Jan 25 16:35:46 CET 2024","21396","","LoginAnd StoreNetwork.spec.js","","","","E2E",""
"passed","Thu Jan 25 16:34:04 CET 2024","Thu Jan 25 16:34:25 CET 2024","20493","","ApiTest.spec.js","","","","E2E",""
"broken","Thu Jan 25 16:35:12 CET 2024","Thu Jan 25 16:36:05 CET 2024","52732","","basicTest.spec.js","","","","@smoke test",""
"passed","Thu Jan 25 16:34:05 CET 2024","Thu Jan 25 16:34:14 CET 2024","9602","","basicTest.spec.js","","","","@smoke Open new browser with properties",""
"passed","Thu Jan 25 16:34:49 CET 2024","Thu Jan 25 16:35:06 CET 2024","17016","","NetworkIntercept.spec.js","","","","Abort css",""
"failed","Thu Jan 25 16:34:52 CET 2024","Thu Jan 25 16:35:11 CET 2024","19742","","e2e_MultipleData.spec.js","","","","@smoke Place the order of IPHONE 13 PRO",""
"failed","Thu Jan 25 16:38:32 CET 2024","Thu Jan 25 16:38:38 CET 2024","6154","","basicTest.spec.js","","","","Playwright Locator",""
"passed","Thu Jan 25 16:34:05 CET 2024","Thu Jan 25 16:34:32 CET 2024","27860","","e2e_MultipleData.spec.js","","","","@smoke Place the order of ZARA COAT 3",""
"passed","Thu Jan 25 16:36:12 CET 2024","Thu Jan 25 16:36:20 CET 2024","7234","","basicTest.spec.js","","","","@smoke Network load",""
"passed","Thu Jan 25 16:36:20 CET 2024","Thu Jan 25 16:36:26 CET 2024","6453","","basicTest.spec.js","","","","@smoke Wait for",""
"passed","Thu Jan 25 16:34:04 CET 2024","Thu Jan 25 16:34:33 CET 2024","28379","","e2e.spec.js","","","","E2E",""
